Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Congo, Republic of ",30.43708631,34.08036208,32.76646953,32.84384328,30.70792083,27.58051138,15.71902964,22.19703996,25.0675574,28.75239093,22.64482237,29.07839862,32.13511536,27.01294704,24.38916427,22.12499954,26.63043233,28.58166786,24.16587356,24.43312914,22.99734613,27.87276878,30.65674214,42.39163181,48.56233299,41.28818245,41.74518119,28.32483956,19.61660275,21.42878636,24.19772264,21.88190891,20.98480186,20.46890699,20.66154085,20.62430191
Croatia,no data,no data,32.27826338,31.27761408,39.46383545,43.73645928,45.29933391,44.93440029,49.40914257,51.25803467,47.45696201,45.95653984,50.72363528,50.04673882,48.83427492,46.92355268,46.50109869,45.57072533,45.84694852,48.87629206,48.54464506,48.96748036,48.32160892,48.25252333,48.73490231,48.6339845,47.42289325,45.34368374,46.29409031,47.12380843,50.62116798,51.03578388,52.8216061,52.63544878,52.57919083,48.60624397
Cyprus,no data,no data,no data,no data,no data,30.41558678,32.44438875,34.2150833,34.38117419,34.32050557,34.97059906,35.71547443,37.42159281,40.38629216,38.63746256,39.68857945,39.12663046,37.56388659,38.21805824,41.88857059,41.80598561,42.19187905,42.01156343,42.20418007,40.48792537,39.64548157,37.61160182,36.90424507,43.44302624,39.49652976,47.74016043,45.79678896,45.54341291,45.61630994,44.89549094,44.40261849
Czech Republic,no data,no data,no data,no data,no data,52.60181945,41.52406307,41.69228787,41.88050397,41.16870833,40.84626799,43.02248126,44.65726638,49.1166487,42.323267,42.00717007,41.14474546,40.17120724,40.44856859,43.93253454,43.1829987,42.7321018,44.16421777,42.14307628,42.12178014,41.43207323,39.75047911,38.9831772,40.5981882,41.15483796,47.91113391,45.30763399,44.56055435,43.92087151,43.21500574,42.17720137
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,15.17228921,14.56502967,13.66806911,12.87746804,11.43906697,13.09799175,12.67483175,13.50821586,13.59668485,14.46141236,14.84240729,14.58951774,14.38534732,14.46547932,13.19710523,16.14189974,15.85735817,15.21366943,16.50272881,17.74340304,18.43351229,17.80312486,17.31716432,19.75969837,18.59732434,17.52795598,17.61840136,17.4730649,17.54711528
Denmark,54.95250463,55.3771766,56.34155458,59.29468607,59.29273211,58.52599608,57.99844489,55.90749383,55.39529523,54.53327008,52.68680416,52.83742342,53.21427356,53.63935713,52.99733998,51.24153285,49.82975283,49.59139567,50.41077564,56.5363039,56.6732158,56.42931168,57.95492564,55.82037823,55.21771281,54.52764644,52.47861642,51.2400091,50.94271744,49.69235349,57.07192465,53.67047649,51.50570612,50.23711848,50.06395751,49.95094893
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,13.58863114,12.99454924,13.82516942,14.53809359,15.73337239,15.84478377,19.01352349,17.07769399,15.14354664,16.15944808,16.27289563,18.28571972,16.24822344,15.79883696,15.94696909,20.11763051,17.69078224,17.00041812,16.6811487,16.97444931,17.10134019,16.31622966,16.59139188,20.28568895,17.20643272,16.4434587,15.92970074,16.08136157,16.04775831
Ecuador,no data,no data,no data,no data,no data,21.00795678,21.75749762,21.01850446,20.60544337,23.09074201,23.21602027,20.21813796,21.58114324,20.3082943,20.47772519,21.3928439,21.21267986,24.12465701,35.23338354,32.96619655,34.68107917,39.46967172,40.25451073,43.73743445,43.59365822,39.67928396,38.56450597,36.51100796,38.50017613,36.59769883,39.01283512,34.56659254,34.0125533,33.33048241,33.13390224,33.2981145
Egypt,no data,no data,no data,no data,no data,no data,no data,no data,no data,26.25137426,25.99242663,27.86203743,30.92363613,30.63805752,30.11828178,30.30993481,34.5404403,31.26086375,32.68855683,32.52613741,31.35770979,30.54850496,30.83639637,34.62047409,35.6736684,32.96436854,32.73411087,32.18980403,30.10727002,27.5291152,26.64786012,28.05426986,25.37051728,25.01210269,24.99624688,25.10072484
Estonia,no data,no data,no data,no data,no data,39.58994315,38.70097927,35.86805063,38.97665946,40.63709816,36.3346856,34.9460328,35.85892525,35.02091424,34.08774744,33.75830395,33.46993075,33.77149708,39.46018491,45.83790113,40.1199136,37.07176995,39.05045497,38.24804725,37.6229126,39.38222192,39.01879855,38.87332209,39.11809916,38.98495965,40.75651308,42.85428811,42.71914439,42.88317852,42.65980351,42.62303445
