Net lending/borrowing (also referred as overall balance) (% of GDP),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,3.185425685,3.801042068,0.751453045,-5.915993962,-1.864595939,0.586636342,3.912373541,2.930436659,-3.576341021,-1.89458923,9.701394446,3.739585058,1.163836561,4.875635436,5.25924119,13.63119545,13.96073679,6.597717279,9.616348354,-5.807077979,-0.03846871,-0.104373158,-4.434618991,-0.399960355,-7.300076617,-15.26741423,-13.05147134,-6.647062307,-4.468083321,-5.637875422,-11.48734916,-11.37601106,-9.194073361,-9.461115527,-9.221874127,-8.590837151
Finland,6.633714416,0.300882929,-4.88114493,-8.083092252,-6.399535575,-5.970633898,-3.366868137,-1.324826049,1.536431097,1.595543509,6.726667742,4.891169068,3.973438573,2.339389386,2.157371597,2.588546758,3.924301752,5.115142833,4.179857411,-2.483672358,-2.53371106,-1.019202214,-2.155822063,-2.524948488,-2.98747686,-2.361094685,-1.666069015,-0.684716265,-0.85850502,-0.907070464,-6.843674298,-4.142445841,-2.575752384,-2.155374823,-1.911033291,-1.663962264
France,-2.433780775,-2.862952904,-4.601130167,-6.358794486,-5.422984116,-5.108542995,-3.905879422,-3.652911523,-2.378585335,-1.602927625,-1.318490313,-1.379209466,-3.160226951,-4.015475885,-3.590570293,-3.355559897,-2.443685608,-2.636244694,-3.26373483,-7.174779051,-6.886671555,-5.154760881,-4.980984334,-4.084094523,-3.904659346,-3.62517467,-3.61169834,-2.933952975,-2.266967201,-2.998258653,-10.76904121,-6.451190386,-5.312930328,-4.925642502,-4.718511756,-4.703510452
Germany,no data,-3.189052844,-2.6050198,-3.094940288,-2.523844661,-9.432231435,-3.570402523,-2.942100298,-2.566892704,-1.719220386,-1.584664476,-3.025444871,-3.874993176,-3.704201088,-3.334158372,-3.319436615,-1.653152096,0.26088696,-0.116356239,-3.150511299,-4.378646077,-0.881398595,0.009324994,0.039980792,0.579552713,0.960550926,1.160351417,1.361898977,1.836634976,1.521288471,-8.174524783,-3.198558929,0.618620835,0.836420544,1.03613102,1.046098462
Ghana,-2.054134092,-1.571738408,-4.822960119,-5.8512377,-5.452735782,-4.877794872,-6.038084851,-6.623497025,-5.692790258,-6.092241115,-4.2866894,-3.900145546,-2.923329108,-2.141302981,-2.175415338,-2.016088795,-3.338040154,-5.277802839,-5.943775769,-5.378340104,-7.520368905,-5.493701884,-8.379790163,-9.177944997,-7.975388052,-4.076838065,-6.887500255,-4.060992758,-6.971788595,-7.340687753,-16.41633045,-9.254971012,-8.064098015,-7.768978308,-7.164324764,-6.286104385
Greece,-13.10429978,-9.493976109,-10.49768118,-11.29324145,-8.358910961,-9.730937849,-8.158234421,-6.056035986,-6.268411263,-5.793450882,-4.063095145,-5.46604991,-6.024066903,-7.830412789,-8.82787173,-6.187952339,-5.945965795,-6.707062893,-10.17604033,-15.14772622,-11.19713668,-10.27875322,-6.556348194,-3.621840646,-4.06972058,-2.77053786,0.551687681,1.041800445,0.873241877,0.565999488,-8.994184863,-3.010005871,-1.482057253,-0.98515404,-1.188603199,-1.52836293
Guinea,-3.933087969,-3.248325356,-2.25929045,-2.644993016,-2.605106867,-1.94635358,-2.21619804,-2.148776185,-0.502102561,-2.182406305,-2.454890694,-3.308429337,-3.528636513,-4.685691016,-3.88371614,-1.074191657,-2.179952135,1.263189428,0.374173012,-4.892582486,-9.661243263,-0.93571808,-2.510442501,-3.873610394,-3.20727301,-6.891719455,-0.14739382,-2.059282135,-1.063191709,-0.464509401,-3.706977975,-3.079100249,-2.356725646,-1.932681343,-2.111035274,-2.152933965
Haiti,no data,no data,no data,no data,no data,no data,no data,0.642350513,0.362981704,-2.660478043,-2.338243612,-2.725235793,-3.141052529,-3.645924977,-2.291981982,-1.382402221,-1.43635143,-2.500140877,-2.880534178,-3.515680474,-2.681295921,-2.474288492,-4.71159458,-7.009226526,-6.279899911,-2.503047434,0.026473495,0.039549689,-1.718512994,-2.278135604,-5.869532922,-4.656224478,-2.054610159,-2.178705705,-2.496184436,-2.572835326
Honduras,-2.150641075,-2.155835844,-1.490039285,-5.208621106,-0.971971805,-0.244308963,0.126739629,0.080106047,2.893287968,1.3812497,1.508103363,-3.118870878,-5.015399323,-5.093454515,-2.475410019,-0.032652263,-1.355423713,-0.253748057,-0.266666666,-4.8648519,-3.371280219,-2.942645813,-3.483095592,-5.729798638,-2.89690526,-0.781103247,-0.397364584,-0.408380704,0.198015285,0.088371853,-3.091414957,-2.661155905,-0.635827477,-0.774450446,-0.874932639,-0.906154279
Hong Kong SAR,0.641825259,3.127408966,2.625239325,1.994149301,1.011431538,-0.290894763,2.038088105,6.317543685,-1.800995393,0.761990755,-0.587149593,-4.836281548,-4.773206644,-3.171906963,1.605332591,0.970566063,3.833305206,7.336107006,0.086453097,1.531527485,4.136195813,3.769966286,3.142946852,1.007552967,3.592018462,0.595103276,4.387711302,5.492424881,2.349854117,-1.51049651,-11.79304292,-6.568724898,0.138040558,0.074222841,0.130948724,0.130915493
Hungary,no data,no data,no data,no data,no data,-8.603468904,-4.368487449,-5.527043792,-7.458212995,-5.137217073,-3.032568471,-4.054368226,-8.840647386,-7.118101041,-6.333387372,-7.787704299,-9.26235115,-5.03197709,-3.615037679,-4.554172564,-4.462013926,-5.242145917,-2.33634441,-2.602763252,-2.78421958,-2.014365276,-1.812347446,-2.456241587,-2.148556879,-2.047699165,-8.278291066,-3.858019017,-2.332889409,-1.292931612,-0.700055706,-0.570909641
Iceland,-3.220204678,-0.742137338,-1.938581937,-4.408375002,-4.641663005,-2.935227258,-1.584238493,-0.049593787,-0.646728364,0.817456746,1.223316333,-0.9668453,-2.768544211,-3.097671093,-0.322526167,4.446203114,5.806336277,4.866704399,-12.85034622,-9.475522177,-9.455443502,-5.406967648,-3.608565647,-1.776399951,-0.071953548,-0.791604692,12.42858106,0.583801962,0.817843759,-0.993307915,-10.04943412,-6.995060759,-5.859452371,-5.292922869,-5.394262487,-5.134952993
India,-7.929556252,-7.764013903,-7.757095069,-8.422456797,-7.859094074,-6.696948115,-6.589632972,-8.13344322,-9.574478112,-8.550728602,-8.264003329,-10.84282609,-10.88126472,-11.23113542,-9.062075245,-7.368330522,-6.320713097,-4.505137454,-8.982172837,-9.534028834,-8.625845182,-8.349151646,-7.549559685,-6.999618196,-7.071068563,-7.202905851,-7.118060608,-6.360767275,-6.269663844,-8.217843956,-13.0769607,-10.92976847,-10.00951731,-9.569319064,-9.29720097,-9.105384398
Indonesia,no data,no data,no data,-0.588573955,0.00485037,0.640948135,0.962360913,-1.033756429,-1.893491985,-0.959390205,-1.869997613,-1.763414748,-0.576098503,-1.077264611,-0.260210025,0.423535186,0.372497299,-0.947178171,0.054113001,-1.644115315,-1.242195971,-0.702931864,-1.586458811,-2.21677129,-2.145667473,-2.603505797,-2.486273918,-2.509060878,-1.750199138,-2.229032851,-6.31481168,-5.494971819,-3.957842318,-2.957619543,-2.769910024,-2.506036233
Iran,-2.130307272,-2.015628087,-1.068155304,-6.224354067,-3.970638017,-3.189947629,-0.918579994,-2.1902037,-6.0226084,-0.616571947,6.631747602,1.008416468,0.47705345,1.175460558,3.379036539,3.574708065,1.87396285,6.46764793,0.587707068,0.799211136,2.647304553,0.607006604,-0.321981057,-0.897657454,-1.139558466,-1.76307774,-2.268359862,-1.816586762,-1.9338351,-5.501294428,-9.529292042,-6.849945726,-7.283514557,-7.651333025,-8.055199972,-8.231618986
Ireland,-2.737875486,-2.84619952,-2.888987632,-2.6706111,-1.852794921,-2.11233381,-0.231398975,1.344886749,2.04777605,3.520220985,4.849845688,0.944916748,-0.532798035,0.333731778,1.286516782,1.560885587,2.767517492,0.258953531,-7.022829202,-13.85630464,-32.07635509,-12.8472145,-8.101807666,-6.196213329,-3.619527756,-1.976518049,-0.694224596,-0.324327764,0.116061251,0.376140757,-5.995208773,-2.74087939,-0.65989958,0.098671621,0.277667971,0.485750893
Israel,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,-0.950199229,-3.96890734,-8.273329376,-5.022767578,-3.516075637,-2.652472028,-0.941455389,-0.277437932,-3.394860445,-6.298347776,-3.484840495,-2.867555194,-4.285819803,-3.969403633,-2.269233296,-0.913684203,-1.399962845,-1.113790538,-3.622625778,-3.909972426,-12.93660478,-7.051878853,-5.373910518,-4.89960832,-4.425592166,-3.941656335
Italy,-11.09919279,-11.04051357,-10.04998473,-9.716237237,-8.798216385,-7.210263862,-6.614671776,-2.981623241,-2.988261905,-1.772796471,-2.423333465,-3.190306547,-2.869301371,-3.217625671,-3.478847637,-4.082523508,-3.616569212,-1.34025662,-2.563900592,-5.121045664,-4.2397375,-3.593011944,-2.945408004,-2.854253384,-2.954396724,-2.552201794,-2.403898603,-2.445017341,-2.199337775,-1.639065485,-12.98129906,-6.182609612,-3.935283549,-2.691195353,-2.546543421,-2.534107535
Japan,1.991938421,1.704541807,0.584903881,-2.435356676,-3.811338609,-4.392403584,-4.985195135,-3.596156456,-10.22463566,-6.873160066,-8.252212809,-6.538313503,-7.913874441,-8.046477236,-5.881387539,-4.963283167,-3.492296249,-3.21039662,-4.530917735,-10.1924613,-9.534429624,-9.441373001,-8.613190921,-7.910520286,-5.635756486,-3.80733035,-3.696624623,-3.116446424,-2.496270927,-3.301141448,-14.15054934,-6.417344974,-3.1970326,-2.771705814,-2.649524998,-2.738530508
Kazakhstan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.92388776,3.996048749,3.287320031,6.077754759,7.652628519,5.134414782,1.227135161,-1.328048731,1.469692441,5.811035754,4.430881585,4.945693553,2.48184788,-6.259289215,-4.50321692,-4.265508721,2.579564376,-0.569542915,-5.27428541,-3.327078287,-2.056583646,-1.526203739,-1.649198091,-1.815369509
Kenya,-4.367288764,-8.736802332,-11.02078544,-11.41802841,-5.515622605,-0.305790725,-0.653042382,-1.207465791,-0.036254205,0.637946455,-0.047752176,-1.269346361,-2.628237333,-1.637685404,-0.046410161,-1.405019067,-2.041197684,-2.417758137,-3.379314233,-4.340435857,-4.411461707,-4.116999259,-5.031750353,-5.696469697,-7.390232007,-8.089112641,-8.467459845,-7.835796284,-7.376153972,-7.734219845,-8.385021569,-8.527109989,-7.948469114,-7.554263091,-7.195359392,-7.001512891
